iter	Passed	Remaining
179	3847	17529
180	3869	17509
181	3887	17473
182	3907	17445
183	3925	17410
184	3941	17363
185	3956	17313
186	3977	17290
187	3991	17238
188	4010	17208
189	4041	17231
190	4060	17197
191	4078	17162
192	4099	17141
193	4121	17123
194	4142	17102
195	4160	17065
196	4179	17035
197	4196	16996
198	4219	16982
199	4234	16936
200	4251	16901
201	4270	16870
202	4298	16877
203	4323	16870
204	4340	16834
205	4363	16819
206	4381	16784
207	4405	16775
208	4428	16760
209	4441	16710
210	4462	16687
211	4481	16658
212	4499	16623
213	4526	16625
214	4544	16593
215	4568	16580
216	4584	16543
217	4605	16519
218	4633	16523
219	4654	16503
220	4673	16472
221	4689	16432
222	4708	16407
223	4726	16373
224	4745	16347
225	4768	16331
226	4789	16308
227	4801	16258
228	4824	16243
229	4841	16206
230	4857	16169
231	4875	16140
232	4894	16113
233	4911	16078
234	4933	16060
235	4953	16035
236	4969	15999
237	4986	15964
238	5005	15937
239	5026	15918
240	5049	15903
241	5065	15865
242	5080	15827
243	5102	15808
244	5125	15796
245	5153	15796
246	5167	15754
247	5183	15716
248	5200	15685
249	5218	15655
250	5242	15644
251	5258	15607
252	5283	15599
253	5301	15570
254	5316	15533
255	5337	15511
256	5351	15472
257	5370	15444
258	5386	15410
259	5401	15372
260	5425	15362
261	5443	15331
262	5457	15292
263	5479	15276
264	5505	15270
265	5527	15251
266	5550	15238
267	5572	15219
268	5599	15217
269	5629	15220
270	5647	15192
271	5659	15148
272	5678	15121
273	5693	15085
274	5711	15058
275	5736	15049
276	5755	15021
277	5780	15013
278	5801	14993
279	5824	14977
280	5844	14953
281	5866	14937
282	5881	14901
283	5902	14881
284	5922	14859
285	5938	14826
286	5952	14787
287	5967	14752
288	5987	14730
289	6015	14728
290	6033	14699
291	6056	14685
292	6074	14658
293	6094	14635
294	6115	14614
295	6131	14583
296	6148	14552
297	6165	14524
298	6181	14493
299	6199	14466
300	6215	14433
301	6231	14402
302	6248	14374
303	6265	14343
304	6289	14330
305	6306	14303
306	6324	14276
307	6341	14248
308	6360	14224
309	6396	14236
310	6419	14222
311	6436	14193
312	6455	14168
313	6472	14141
314	6487	14107
315	6515	14103
316	6538	14087
317	6563	14076
318	6589	14067
319	6612	14052
320	6630	14024
321	6662	14028
322	6686	14014
323	6708	13995
324	6731	13981
325	6759	13974
326	6784	13962
327	6802	13936
328	6829	13928
329	6848	13904
330	6864	13874
331	6886	13856
332	6916	13853
333	6941	13841
334	6967	13831
335	6994	13821
336	7012	13796
337	7039	13788
338	7064	13775
339	7092	13768
340	7109	13739
341	7135	13728
342	7174	13742
343	7195	13721
344	7220	13709
345	7240	13686
346	7266	13674
347	7298	13673
348	7332	13677
349	7347	13644
350	7366	13620
351	7395	13614
352	7423	13605
353	7448	13592
354	7486	13601
355	7504	13575
356	7522	13549
357	7542	13526
358	7560	13499
359	7582	13479
360	7604	13461
361	7624	13436
362	7641	13409
363	7665	13394
364	7695	13388
365	7715	13364
366	7737	13346
367	7766	13338
368	7791	13324
369	7814	13306
370	7831	13276
371	7857	13265
372	7878	13242
373	7906	13234
374	7929	13215
375	7954	13201
376	7973	13176
377	7990	13147
378	8005	13117
379	8023	13091
380	8040	13062
381	8058	13037
382	8080	13016
383	8094	12984
384	8110	12955
385	8175	13005
386	8207	13000
387	8225	12974
388	8241	12945
389	8278	12949
390	8300	12928
391	8330	12920
392	8355	12904
393	8369	12872
394	8385	12843
395	8401	12814
396	8422	12792
397	8440	12766
398	8464	12749
399	8491	12737
400	8522	12731
401	8542	12707
402	8568	12692
403	8586	12667
404	8600	12635
405	8618	12609
406	8636	12582
407	8650	12551
408	8662	12517
409	8679	12489
410	8699	12467
411	8717	12441
412	8732	12411
413	8747	12381
414	8765	12356
415	8780	12327
416	8800	12304
417	8819	12280
418	8840	12258
419	8857	12232
420	8872	12201
421	8894	12182
422	8905	12148
423	8933	12136
424	8949	12108
425	8965	12080
426	8985	12058
427	9001	12029
428	9018	12003
429	9040	11983
430	9059	11960
431	9072	11929
432	9089	11902
433	9114	11886
434	9136	11866
435	9151	11837
436	9174	11819
437	9192	11795
438	9214	11775
439	9230	11748
440	9246	11720
441	9267	11699
442	9282	11670
443	9301	11647
444	9322	11626
445	9337	11599
446	9362	11582
447	9384	11562
448	9398	11533
449	9431	11527
450	9455	11509
451	9470	11481
452	9487	11456
453	9504	11430
454	9528	11413
455	9557	11402
456	9580	11383
457	9604	11365
458	9626	11346
459	9646	11324
460	9661	11296
461	9679	11271
462	9701	11251
463	9715	11222
464	9729	11194
465	9755	11179
466	9781	11164
467	9796	11136
468	9812	11109
469	9834	11089
470	9846	11059
471	9866	11036
472	9886	11015
473	9900	10986
474	9920	10964
475	9938	10940
476	9963	10924
477	9984	10903
478	10010	10888
479	10026	10862
480	10048	10842
481	10064	10816
482	10081	10791
483	10095	10762
484	10112	10738
485	10137	10721
486	10157	10700
487	10176	10677
488	10195	10654
489	10214	10631
490	10237	10612
491	10261	10595
492	10278	10570
493	10293	10543
494	10308	10516
495	10325	10491
496	10343	10468
497	10363	10447
498	10383	10424
499	10403	10403
500	10419	10378
501	10442	10359
502	10456	10331
503	10486	10320
504	10511	10303
505	10535	10285
506	10553	10261
507	10572	10239
508	10585	10210
509	10600	10184
510	10617	10160
511	10638	10139
512	10663	10123
513	10679	10097
514	10698	10075
515	10713	10049
516	10729	10023
517	10748	10001
518	10771	9982
519	10789	9959
520	10807	9936
521	10820	9908
522	10842	9888
523	10856	9861
524	10881	9845
525	10895	9818
526	10913	9795
527	10930	9771
528	10950	9749
529	10970	9728
530	10992	9708
531	11009	9684
532	11029	9663
533	11044	9637
534	11063	9615
535	11078	9590
536	11097	9568
537	11116	9546
538	11135	9524
539	11153	9501
540	11178	9484
541	11194	9459
542	11213	9437
543	11233	9416
544	11254	9396
545	11277	9376
546	11292	9351
547	11317	9335
548	11338	9314
549	11359	9293
550	11378	9272
551	11396	9249
552	11417	9228
553	11443	9212
554	11465	9193
555	11486	9172
556	11508	9152
557	11530	9133
558	11549	9111
559	11564	9086
560	11585	9065
561	11601	9041
562	11618	9018
563	11639	8998
564	11654	8972
565	11669	8947
566	11690	8927
567	11704	8902
568	11723	8879
569	11739	8856
570	11759	8835
571	11776	8811
572	11793	8788
573	11814	8768
574	11838	8750
575	11860	8730
576	11875	8706
577	11889	8680
578	11904	8655
579	11923	8633
580	11937	8609
581	11964	8593
582	11983	8571
583	12003	8550
584	12024	8530
585	12049	8512
586	12065	8488
587	12087	8469
588	12107	8448
589	12140	8436
590	12157	8413
591	12175	8391
592	12197	8371
593	12220	8352
594	12237	8329
595	12253	8306
596	12272	8284
597	12292	8263
598	12308	8239
599	12333	8222
600	12353	8201
601	12379	8184
602	12396	8161
603	12410	8136
604	12429	8115
605	12446	8092
606	12469	8073
607	12494	8055
608	12530	8045
609	12547	8022
610	12563	7998
611	12579	7975
612	12598	7953
613	12616	7931
614	12629	7906
615	12651	78603616	12672	7866
617	12688	78436618	12715	7826
619	12730	7802
620	12744	7778
621	12763	7756
622609	15722	10623	610	15749	1624	1611	15764	625	1612	15797	9973
613	15818	9944
614	15848	9921
615	15874	9895
616	15896	9867
617	15908	9833
618	15943	9813
619	15957	9780
620	15977	9751
621	16001	9724
622	16029	9699
623	16043	9666
624	16062	9637
625	16095	9615
626	16125	9593
627	16173	9580
628	16190	9549
629	16211	9520
630	16226	9489
631	16247	9460
632	16282	9440
633	16307	9414
634	16332	9388
635	16357	9361
636	16388	9339
637	16417	9315
638	16449	9292
639	16479	9269
640	16510	9246
641	16527	9216
642	16545	9186
643	16564	9156
644	16584	9128
645	16610	9102
646	16634	9075
647	16660	9050
648	16686	9024
649	16711	8998
650	16751	8980
651	16772	8952
652	16798	8926
653	16821	8899
654	16838	8869
655	16866	8844
656	16890	8818
657	16926	8797
658	16948	8770
659	16972	8743
660	16995	8716
661	17024	8692
662	17049	8666
663	17072	8639
664	17092	8610
665	17113	8582
666	17132	8553
667	17155	8526
668	17184	8502
669	17210	8476
670	17230	8448
671	17257	8423
672	17294	8403
673	17313	8374
674	17348	8352
675	17375	8327
676	17395	8299
677	17428	8277
678	17460	8254
679	17498	8234
680	17514	8204
681	17536	8176
682	17560	8150
683	17581	8122
684	17595	8091
685	17614	8062
686	17636	8035
687	17670	8013
688	17697	7988
689	17715	7959
690	17742	7933
691	17768	7908
692	17782	7877
693	17800	7848
694	17821	7820
695	17842	7793
696	17865	7766
697	17884	7737
698	17904	7709
699	17928	7683
700	17946	7654
701	17966	7626
702	17988	7599
703	18011	7572
704	18037	7547
705	18052	7517
706	18075	7490
707	18095	7463
708	18135	7443
709	18164	7419
710	18189	7393
711	18221	7370
712	18270	7354
713	18291	7327
714	18305	7296
715	18329	7270
716	18366	7249
717	18386	7221
718	18405	7193
719	18423	7164
720	18457	7142
721	18482	7116
722	18505	7089
723	18532	7064
724	18551	7036
725	18575	7010
726	18601	6985
727	18623	6958
728	18641	6929
729	18654	6899
730	18678	6873
731	18706	6848
732	18732	6823
733	18758	6798
734	18802	6779
735	18816	6749
736	18839	6722
737	18856	6694
738	18883	6669
739	18899	6640
740	18919	6612
741	18936	6584
742	18957	6557
743	18977	6529
744	18990	6499
745	19008	6471
746	19025	6443
747	19046	6416
748	19071	6391
749	19102	6367
750	19141	6346
751	19166	6320
752	19189	6294
753	19222	6271
754	19242	6244
755	19267	6218
756	19291	6192
757	19311	6165
758	19337	6140
759	19364	6115
760	19381	6086
761	19403	6060
762	19421	6032
763	19437	6004
764	19463	5979
765	19485	5952
766	19526	5931
767	19552	5906
768	19580	5881
769	19611	5858
770	19633	5831
771	19644	5801
772	19673	5777
773	19699	5752
774	19722	5725
775	19740	5698
776	19769	5673
777	19796	5648
778	19817	5622
779	19840	5596
780	19857	5568
781	19872	5539
782	19888	5511
783	19912	5486
784	19935	5460
785	19959	5434
786	19987	5409
787	20013	5384
788	20054	5363
789	20078	5337
790	20114	5314
791	20131	5287
792	20154	5261
793	20173	5233
794	20188	5205
795	20208	5179
796	20224	5151
797	20252	5126
798	20269	5099
799	20293	5073
800	20323	5049
801	20354	5025
802	20372	4997
803	20396	4972
804	20420	4946
805	20439	4919
806	20459	4893
807	20478	4866
808	20504	4840
809	20532	4816
810	20549	4788
811	20571	4762
812	20599	4738
813	20622	4712
814	20647	4686
815	20670	4660
816	20694	4635
817	20716	4609
818	20735	4582
819	20751	4555
820	20771	4528
821	20788	4501
822	20809	4475
823	20838	4450
824	20858	4424
825	20876	4397
826	20897	4371
827	20917	4345
828	20933	4318
829	20949	4290
830	20984	4267
831	21011	4242
832	21035	4217
833	21053	4190
834	21073	4164
835	21093	4138
836	21123	4113
837	21148	4088
838	21169	4062
839	21185	4035
840	21206	4009
841	21239	3985
842	21257	3959
843	21285	3934
844	21312	3909
845	21336	3883
846	21350	3856
847	21362	3829
848	21393	3805
849	21420	3780
850	21441	3754
851	21466	3728
852	21488	3703
853	21514	3678
854	21539	3652
855	21567	3628
856	21587	3602
857	21615	3577
858	21643	3552
859	21660	3526
860	21683	3500
861	21736	3479
862	21782	3457
863	21807	3432
864	21833	3407
865	21854	3381
866	21875	3355
867	21893	3329
868	21911	3303
869	21930	3276
870	21960	3252
871	21973	3225
872	21998	3200
873	22018	3174
874	22035	3147
875	22059	3122
876	22080	3096
877	22097	3070
878	22112	3043
879	22127	3017
880	22154	2992
881	22171	2966
882	22198	2941
883	22235	2917
884	22254	2891
885	22275	2866
886	22289	2839
887	22314	2814
888	22334	2788
889	22353	2762
890	22373	2737
891	22396	2711
892	22419	2686
893	22448	2661
894	22480	2637
895	22495	2611
896	22518	2585
897	22544	2560
898	22564	2535
899	22578	2508
900	22589	2482
901	22600	2455
902	22612	2428
903	22623	2402
904	22634	2376
905	22646	2349
906	22660	2323
907	22672	2297
908	22684	2270
909	22697	2244
910	22710	2218
911	22724	2192
912	22738	2166
913	22750	2140
914	22761	2114
915	22771	2088
916	22779	2061
917	22789	2035
918	22799	2009
919	22809	1983
920	22820	1957
921	22832	1931
922	22846	1905
923	22858	1880
924	22870	1854
925	22881	1828
926	22890	1802
927	22900	1776
928	22910	1750
929	22920	1725
930	22929	1699
931	22939	1673
932	22948	1647
933	22957	1622
934	22965	1596
935	22974	1570
936	22981	1545
937	22990	1519
938	22998	1494
939	23009	1468
940	23018	1443
941	23028	1417
942	23036	1392
943	23046	1367
944	23056	1341
945	23066	1316
946	23074	1291
947	23085	1266
948	23095	1241
949	23103	1215
950	23111	1190
951	23119	1165
952	23126	1140
953	23135	1115
954	23142	1090
955	23150	1065
956	23157	1040
957	23164	1015
958	23170	990
959	23176	965
960	23183	940
961	23189	916
962	23195	891
963	23201	866
964	23208	841
965	23214	817
966	23221	792
967	23227	767
968	23233	743
969	23240	718
970	23250	694
971	23255	669
972	23261	645
973	23268	621
974	23274	596
975	23281	572
976	23287	548
977	23294	524
978	23301	499
979	23308	475
980	23315	451
981	23321	427
982	23329	403
983	23335	379
984	23342	355
985	23348	331
986	23354	307
987	23361	283
988	23368	259
989	23375	236
990	23382	212
991	23389	188
992	23395	164
993	23402	141
994	23409	117
995	23415	94
996	23422	70
997	23427	46
998	23433	23
999	23439	0
