iter	RMSE
132	565879.1561
133	563268.8475
134	558708.5198
135	555665.1777
136	550346.4502
137	547840.891
138	543953.0888
139	540417.4613
140	537600.0657
141	535208.8826
142	530981.3902
143	528664.116
144	526377.1243
145	521203.5274
146	515785.8419
147	513568.6297
148	511372.3519
149	508667.5067
150	505074.1008
151	502915.6457
152	500842.3615
153	497424.2606
154	491486.3651
155	485232.2016
156	483233.8701
157	478127.7029
158	476180.1826
159	473048.6186
160	470666.8927
161	466741.7986
162	463712.1326
163	461551.0122
164	458888.0778
165	456809.8047
166	454720.3382
167	453024.9831
168	449829.242
169	447842.9588
170	445884.4671
171	443940.7249
172	438978.1001
173	437099.7511
174	430954.9215
175	429130.4743
176	426799.6483
177	421909.6382
178	420152.295
179	418414.2259
180	416709.8906
181	411822.9134
182	409006.2522
183	404112.7754
184	401987.8404
185	398392.843
186	396327.4053
187	392212.0794
188	390604.0395
189	388608.6771
190	386560.6042
191	385080.1452
192	381491.7328
193	379301.9117
194	377350.8427
195	375416.6135
196	373482.1995
197	371610.6284
198	370244.2937
199	368495.6676
200	363753.8258
201	361974.7358
202	360673.7674
203	356154.4057
204	351629.2363
205	349938.42206206	348271.82207	198859.4099
208	198441.3811
209	198163.8546
210	197917.7841
211	197480.9285
212	197193.8417
213	196973.9353
214	196738.5952
215	196343.5369
216	196077.3148
217	195692.6204
218	195451.8811
219	195175.0584
220	194778.8416
221	194393.8649
222	194050.569
223	193644.3177
224	193444.422
225	193048.9424
226	192711.1536
227	192512.6933
228	192165.0879
229	191844.8994
230	191611.2997
231	191296.9406
232	190542.8124
233	190241.8551
234	189553.0716
235	189148.2535
236	188963.0028
237	188702.8626
238	238	273329.4239	188232.4623
240	187961.0225
241	187750.8435
242	187482.5534
243	187213.7821
244	186996.0149
245	186861.5645
246	186337.1155
247	186180.3413
248	185828.9304
249	185327.2479
250	184752.2443
251	184508.2199
252	184036.3495
253	183820.943
254	183677.6239
255	183030.2936
256	182823.7754
257	182543.9505
258	181916.6215
259	181447.4362
26260	246935.42261261	245248.25262	180786.8762
263	180534.2781
264	180295.831
265	180086.7225
266	179904.7457
267	267	238363.2268	268	237638.1269	179243.6147
270	270	235615.0271	271	235068.8272272	233643.1534
273	232984.4008
274	231622.779
275	229483.90927276	227641.53927277	225790.60727278	225183.29327279	223911.75328280	223444.7095
281	222969.67028282	221281.3401
283	220820.36028284	219540.8835
285	219094.0308
286	218655.3218
287	218236.6426
288	217812.9835
289	216229.6337
290	214593.3299
291	213005.2623
292	212610.8116
293	212220.5843
294	210517.7458
295	209555.8797
296	208173.0266
297	206464.7888
298	206095.3859
299	205741.2505
300	205396.9475
301	203955.4159
302	203612.7096
303	203276.8748
304	202995.4808
305	202679.4227
306	202414.7481
307	202152.9593
308	201921.1053
309	201677.8567
310	201436.8085
311	201181.2307
312	200961.8134
313	199444.9712
314	198122.5792
315	196678.4172
316	195287.1344
317	194092.5293
318	192904.9681
319	191755.8417
320	190654.4938
321	189326.1796
322	188094.7689
323	187097.863
324	186100.6179
325	184939.3618
326	184585.8257
327	184301.7666
328	183365.9165
329	183026.1224
330	182693.4618
331	182342.0404
332	181333	1589333	1811334	158615.2195
335	158422.1949
336	157629.2736
337	157255.0664
338	156736.9609
339	156641.6512
340	1561340	1766341	155905.1865
342	155163.079
343	154990.4424
344	154228.902
345	154088.11
346	153958.1818
347	153238.8468
348	153100.9446
349	152785.5025
350	152601.4695
351	151919.9066
352	151472.3352	353	151234.9605
354	150959.2948
355	150787.6595
356	150080.6525
357	149819.4676
358	149264.6562
359	149024.3091
360	148795.583
361	148557.6216
362	148302.3551
363	147628.6476
364	147380.5377
365	147136.6507
366	146977.2943
367	146741.2253
368	146511.6487
369	146308.5879
370	146084.2672
371	145882.9963
372	145370.7469
373	144815.2079
374	144326.8931
375	143853.2764
376	143267.078
377	142956.1273
378	142525.0333
379	142083.7417
380	141934.5464
381	141789.8197
382	141185.6591
383	140939.6289
384	140629.269
385	140333.9912
386	139722.1251
387	139491.4472
388	139068.5872
389	138659.2678
390	138467.6021
391	138000.4501
392	137818.2937
393	137592.383
394	137409.2539
395	137255.0196
396	137084.7092
397	136911.9572
398	136745.6726
399	136569.1988
400	136149.9457
401	135649.7099
402	135375.0883
403	135224.0963
404	135080.7533
405	134936.0542
406	134735.7413
407	134372.0059
408	133870.5921
409	133820.3947
410	133338.5157
411	132806.7459
412	132326.7654
413	131907.3395
414	131397.8907
415	131335.4328
416	130872.0573
417	130272.9679
418	129833.2476
419	129262.4668
420	128860.8318
421	128475.3294
422	127967.5286
423	127428.8964
424	126906.8418
425	126480.0904
426	125945.0874
427	125885.0527
428	125359.9024
429	124877.3959
430	124474.879
431	123966.1749
432	123700.6087
433	123399.1349
434	123276.4874
435	123157.0814
436	122581.4392
437	122220.21437438	121731.18438439	121416.1275
440	121172.0523
441	120928.1864
442	120610.5315
443	120140.1069
444	119692.6868
445	119255.93445446	118873.31446	136615.2556
447448	118534.65448449	118211.6844450	117770.44945451	117466.08445452	117269.3169
453	116976.36453454	116370.88454455	116135.28455456	115696.88456457	115115.311
458	114927.45458	132822.783
459	132479.3801
460	132283.2063
461	462	113620.462	1463	113352.5133
464	113044.4993
465	112718.7625
466	112536.3852
467	112471.5526
468	112290.9287
469	112035.8612
470	111928.6719
471	111697.2377
472	111267.4378
473	110735.6225
474	11052474	128475	110078.8109
476	109779.0315
477	1097477	1275478	109345.6577
479	1090479	1269480	1088480	1268481	1083481	1267482	1082482	1266483	1079483	1261484	1077484	1258485	1076485	1253486	1073486	1253487	1072487	124684.5008
488	1246489	1068489	124096.5048
490	123591.8748
491	123528.9779
492	123192.2404
493	123141.6261
494	122818.9928
495	122541.8452
496	122129.7432
497	121964.4635
498	121627.0254
499	121469.5118
500	121317.4128
501	121269.725
502	121123.6077
503	121029.6779
504	120955.9874
505	120636.8399
506	120499.7075
507	120221.6921
508	119936.4754
509	119660.3943
510	119530.0137
511	119403.9874
512	118853.1893
513	118611.0607
514	118195.0752
515	117852.0482
516	117608.2905
517	117523.9576
518	117360.6807
519	116766.7909
520	116648.8532
521	116550.8613
522	116298.178
523	116202.2982
524	115891.8965
525	115779.6673
526	115628.3223
527	115530.6393
528	115440.6213
529	115042.7907
530	114837.3041
531	114754.2854
532	114512.8622
533	114171.8811
534	114123.994
535	113793.6688
536	113576.1636
537	113496.2847
538	113173.6889
539	113086.8869
540	113009.3834
541	112713.1971
542	112637.7865
543	112564.565
544	112339.6052
545	112269.2925
546	111787.1183
547	111569.419
548	111361.8377
549	111092.3262
550	110813.8386
551	110537.6286
552	110151.8635
553	109777.9814
554	109580.5683
555	109399.7979
556	109167.9313
557	108979.9098
558	108736.6678
559	108375.3418
560	108168.1557
561	107808.986
562	107534.8523
563	107200.5684
564	106865.6718
565	106492.9068
566	106158.742
567	105836.874
568	105743.0707
569	105521.6908
570	105431.16
571	105333.3136
572	105032.3174
573	104724.083
574	104428.3413
575	104342.8969
576	104114.2575
577	104031.2394
578	103723.7428
579	103569.1871
580	103322.7001
581	102908.4325
582	102632.5978
583	102348.0276
584	102266.6911
585	102106.9643
586	101823.1042
587	101707.2371
588	101365.6973
589	101254.3585
590	101068.1007
591	100985.0716
592	100904.3505
593	100684.7711
594	100321.0099
595	100276.1672
596	99935.03553
597	99710.16401
598	99338.08624
599	99261.39648
600	99186.79192
601	98901.48652
602	98834.82713
603	98705.48601
604	98640.71868
605	98279.09203
606	98006.59311
607	97545.61469
608	97252.23028
609	97082.59015
610	97011.32196
611	96771.81263
612	96516.06399
613	96286.6599
614	96159.98991
615	95947.08472
616	95656.2054
617	95411.86671
618	95354.65082
619	95115.78336
620	94862.38201
621	94453.94715
622	94423.54469
623	94208.16387
624	94141.19877
625	94082.17971
626	94026.59818
627	93970.53085
628	93742.15192
629	93413.92664
630	93289.14901
631	93236.96778
632	93001.81761
633	92583.54991
634	92555.97123
635	92528.97464
636	92146.3015
637	91838.98519
638	91788.44056
639	91517.61938
640	91491.63424
641	91134.14383
642	91108.51885
643	90964.59102
644	90695.76737
645	90428.51666
646	90143.82388
647	89991.68417
648	89718.03389
649	89363.23141
650	89286.96609
651	89144.35026
652	88801.49045
653	88727.35579
654	88554.16054
655	88414.4233
656	88230.31661
657	88084.96041
658	87952.50981
659	87891.0219
660	87520.33871
661	87328.74274
662	87203.98655
663	87030.48649
664	86882.88549
665	86705.49205
666	86538.22246
667	86400.15727
668	86274.28461
669	86053.53755
670	85995.19504
671	85884.63094
672	85828.66799
673	85735.06554
674	85656.53172
675	85514.44672
676	85333.21022
677	85139.43469
678	84794.02083
679	84563.32969
680	84433.20685
681	84310.67834
682	84155.70733
683	84053.68997
684	83979.46549
685	83927.43245
686	83680.3081
687	83392.42043
688	83108.05519
689	83025.48297
690	828692	86607691	826693	86400.47173
694	86306.94241
695	86090.19971
696	85959.27668
697	85874.11322
698	85596.41151
699	85539.34845
700	85375.69424
701	85128701	71702	84979.702	71703	84739.703	71704	84506.704	71450.03389
705	71193.88803
706	71147.90217
707	71072.45471
708	70999.73178
709	70886.08613
710	70859.04975
711	70707.99383
712	70634.42194
713	70580.28813
714	70487.07141
715	70418.00523
716	70319.49028
717	70129.17409
718	70041.64476
719	69839.95068
720	69745.89173
721	69628.84947
722	69586.19241
723	69387.90961
724	69225.77573
725	69038.02386
726	68954.12394
727	68884.50226
728	68700.254728729	68514.487729	77615.16058
730	77569.18097
731	77551.41607
732	77506.65851
733	77489.37056
734	77398.51063
735	77320.52563
736	77167.86733
737	77115.44956
738	77099.02536
739	77032.18875
740	76968.58415
741	76724.96438
742	76569.32137
743	76419.84715
744	76297.01563
745	76252.82243
746	76128.29169
747	75984.87072
748	75795.61579
749	75678.00217
750	75610.19293
751	75479.06444
752	75351.12411
753	75285.54428
754	75204.85138
755	75068.99105
756	74849.40455
757	74785.86416
758	74636.47406
759	74289.00024
760	74204.88063
761	74121.02405
762	73915.20538
763	73795.53792
764	73695.98958
765	73617.1239
766	73516.86174
767	73374.98689
768	73284.69412
769	73079.65179
770	72971.23796
771	72884.17793
772	72770.11443
773	72739.91778
774	72628.66886
775	72580.09336
776	72471.42874
777	72220.70171
778	72105.82935
779	71806.08279
780	71658.6046
781	71474.188
782	71427.43785
783	71242.58558
784	71202.20899
785	71047.83552
786	70975.36208
787	70672.33402
788	70390.81798
789	70253.74042
790	70030.00762
791	69947.97718
792	69837.84113
793	69690.47545
794	69589.00847
795	69478.65711
796	69439.88219
797	69268.90765
798	69105.61795
799	68841.27333
800	68706.16431
801	68643.73078
802	68489.0045
803	68428.8463
804	68352.75777
805	68267.68327
806	68194.75503
807	68090.42881
808	67949.64863
809	67871.9716
810	67809.83377
811	67741.56324
812	67669.95539
813	67572.32742
814	67435.77631
815	67425.46239
816	67367.8852
817	67228.62187
818	67197.58286
819	67187.87566
820	67133.82456
821	67073.72162
822	67064.23851
823	66847.21201
824	66710.99329
825	66653.33356
826	66590.73473
827	66582.71632
828	66532.62846
829	66345.02464
830	66262.93225
831	66226.32604
832	66133.66297
833	66086.69347
834	65994.77043
835	65887.73812
836	65842.08288
837	65754.84797
838	65726.27912
839	65573.0014
840	65528.8929
841	65487.51464
842	65332.31451
843	65200.64314
844	65163.31538
845	64939.90711
846	64820.00734
847	64711.88503
848	64606.85586
849	64442.66705
850	64400.17021
851	64361.48869
852	64316.80238
853	64254.22103
854	64174.88933
855	64140.83114
856	64020.52294
857	63987.08822
858	63959.27982
859	63931.80935
860	63829.80675
861	63705.9188
862	63603.90638
863	63473.04587
864	63440.69425
865	63331.96741
866	63307.54003
867	63249.89848
868	63159.87765
869	63117.02151
870	63087.30776
871	63030.33258
872	62883.58668
873	62861.52404
874	62694.69361
875	62654.37507
876	62612.72441
877	62491.64488
878	62390.68392
879	62274.29207
880	62251.23855
881	62192.41951
882	62171.52792
883	62125.8348
884	62025.35849
885	61934.15253
886	61895.87416
887	61869.265
888	61759.08596
889	61646.1732
890	61564.4101
891	61509.95343
892	61393.97929
893	61281.25082
894	61255.10236
895	61149.69196
896	61067.88508
897	60954.96443
898	60821.50854
899	60744.465
900	60657.15506
901	60564.44797
902	60485.58491
903	60368.17594
904	60270.50568
905	60146.37507
906	60055.99668
907	60027.71291
908	59999.22999
909	59910.65634
910	59842.97212
911	59721.94505
912	59698.05282
913	59560.0737
914	59501.18516
915	59421.28164
916	59329.16733
917	59281.37428
918	59202.21465
919	59112.15916
920	58948.72394
921	58844.14959
922	58743.98265
923	58669.76507
924	58570.3147
925	58410.75016
926	58193.63157
927	58139.94009
928	57997.76368
929	57858.56231
930	57658.89057
931	57498.73095
932	57413.44854
933	57299.80882
934	57221.32017
935	57136.16344
936	57099.51699
937	57048.01493
938	56976.10346
939	56950.75093
940	56926.3128
941	56908.40069
942	56858.76514
943	56744.50859
944	56665.64792
945	56509.2344
946	56377.25365
947	56326.57928
948	56156.02758
949	55994.50274
950	55914.27848
951	55867.56591
952	55799.18657
953	55737.03391
954	55678.12765
955	55562.68162
956	55475.23522
957	55425.82508
958	55387.85838
959	55364.37193
960	55316.86505
961	55254.61357
962	55188.32605
963	55103.6364
964	55063.67091
965	54989.14292
966	54934.38863
967	54914.98495
968	54780.21991
969	54713.03629
970	54642.50869
971	54554.77595
972	54397.97606
973	54313.80687
974	54211.7727
975	54164.1089
976	54103.25662
977	53994.39491
978	53925.95811
979	53863.34891
980	53807.8749
981	53743.43171
982	53608.70729
983	53576.05063
984	53437.28011
985	53391.15902
986	53320.47725
987	53259.57086
988	53097.73776
989	53050.39244
990	52960.91523
991	52898.37346
992	52747.93034
993	52690.77689
994	52583.31547
995	52502.66743
996	52435.23781
997	52376.26595
998	52264.17914
999	52188.83289
